TotalDisplacement 4357894
MaxDisplacement 478
NumCells 210904
c210901 3804 6303
c210900 3775 6195
c210890 4131 6387
c210889 4064 6267
c210887 3764 6315
c210886 3761 6291
c210885 3806 6195
c210884 3790 6375
c210883 3921 6219
c210879 4211 6471
c210872 3837 5991
c210869 3884 6003
c210866 3869 6003
c210864 3718 6207
c210861 3925 6207
c210859 3908 6147
c210858 4176 6087
c210857 3778 6111
c210856 3747 5919
c210851 3813 6075
c210850 3871 5967
c210849 3688 5967
c210848 3773 5991
c210845 3800 6135
c210844 3798 6267
c210842 3819 6339
c210841 3727 6279
c210839 3756 6051
c210837 3837 5943
c210835 3678 5895
c210834 3860 6051
c210833 3797 5907
c210830 3673 6123
c210829 3791 6039
c210827 3740 6039
c210821 3840 6183
c210819 3881 6339
c210818 3881 6243
c210816 3797 6099
c210815 3843 5871
c210811 3852 6075
c210809 3792 6087
c210808 3783 5967
c210805 3777 6027
c210804 4206 6015
c210799 4122 6111
c210797 3914 6075
c210796 3923 6123
c210795 3951 6135
c210793 3962 6147
c210791 4009 6159
c210790 3942 6135
c210789 4002 6039
c210783 3957 6243
c210782 3956 6111
c210781 4161 5943
c210779 3970 5883
c210777 3886 5967
c210775 3842 6039
c210774 3813 5883
c210770 3914 5907
c210769 4054 5931
c210768 3956 6075
c210767 3923 6075
c210766 4044 6135
c210764 3961 5991
c210762 4021 6027
c210761 3978 5955
c210759 3962 6039
c210755 3921 6099
c210754 4056 6075
c210752 3982 5967
c210750 4014 6063
c210749 3997 5967
c210745 4035 5955
c210743 4132 6075
c210742 4047 5967
c210741 4010 6075
c210739 4002 6063
c210735 4063 6087
c210729 6166 7443
c210728 6123 7407
c210727 6299 7395
c210726 6001 7503
c210725 5977 7515
c210723 5784 7263
c210719 5707 6711
c210713 5625 7287
c210712 5613 7467
c210705 5554 2559
c210701 5493 2703
c210700 5513 2715
c210698 5538 2835
c210697 5409 2727
c210696 5508 2691
c210694 5534 2607
c210692 6122 2451
c210690 6037 2559
c210689 6108 2451
c210687 6112 2547
c210686 6137 2511
c210685 6127 2415
c210681 6170 2535
c210680 6168 2487
c210679 5469 2727
c210678 5556 2691
c210677 5389 2691
c210674 6543 2499
c210672 6418 2595
c210669 6276 2691
c210668 6306 2163
c210665 6285 2163
c210664 6466 2067
c210663 6334 2187
c210662 6440 2091
c210661 6325 2079
c210659 6392 2187
c210656 6224 2595
c210654 6412 2163
c210653 6305 2127
c210650 6338 2055
c210649 6342 2271
c210648 6347 2151
c210641 5509 3387
c210639 6487 5751
c210638 6487 5739
c210636 3752 5811
c210633 3896 5823
c210632 3927 5919
c210630 3966 6051
c210629 4132 5931
c210628 4075 5967
c210627 4190 6447
c210626 8042 5799
c210624 8145 3531
c210622 8275 3315
c210620 7841 7275
c210619 7965 7467
c210617 7176 5691
c210616 7237 5595
c210606 7153 5715
c210603 7264 5643
c210602 7129 5679
c210597 6606 2835
c210593 6681 3003
c210589 6579 3027
c210588 6575 3051
c210586 3971 3675
c210584 5723 4371
c210580 5629 7743
c210577 9471 4251
c210575 1439 6591
c210574 10976 4443
c210570 7175 3255
c210568 4522 5871
c210565 10959 3915
c210564 10879 4251
c210563 7384 4395
c210562 7603 4347
c210561 10976 4551
c210560 9475 4503
c210558 6921 4311
