TotalDisplacement 22496804
MaxDisplacement 5040
NumCells 12028
c12026 27192 -25144
c12025 4224 -7000
c12023 29238 15680
c12022 2640 6104
c12018 -396 31304
c12016 4884 6104
c12014 12540 6608
c12010 11880 6608
c12008 21252 -2968
c12006 29832 -21616
c12002 -13002 -11032
c12000 132 -22624
c11996 19998 -14056
c11995 132 31808
c11993 -12210 8120
c11992 14916 5096
c11991 -8184 -1960
c11990 25608 19712
c11986 -18216 -17584
c11983 -18546 29288
c11982 -22308 -24136
c11981 12540 1568
c11979 -6600 27272
c11978 -21252 -10024
c11973 22440 -6496
c11972 -9240 -4480
c11967 31746 -29176
c11963 -33330 -25144
c11962 7656 -29680
c11961 -22374 -20104
c11956 17226 -13048
c11955 -12672 -11536
c11954 -18414 7616
c11951 24684 -2464
c11950 29568 -6496
c11948 -25278 26264
c11947 -31416 -5488
c11946 -1320 19208
c11942 1584 16184
c11941 15312 -19096
c11940 12804 23744
c11939 -4158 -3472
c11938 5808 4088
c11937 -3894 3584
c11936 2442 -3472
c11935 7986 -29176
c11933 -2904 15680
c11932 18942 -15064
c11931 8844 8624
c11930 -1518 -29176
c11925 22968 1064
c11924 -15444 -11536
c11921 9504 31808
c11909 -13200 -29680
c11908 -23892 -24640
c11907 3168 6104
c11902 6864 -11032
c11900 -8910 25760
c11892 -2574 -8008
c11891 -3102 -28168
c11890 14322 17696
c11888 15444 -1960
c11887 8250 -17080
c11882 16764 -2968
c11881 26400 20216
c11879 -5742 15176
c11878 22506 -20608
c11877 20856 -19600
c11876 20262 3584
c11870 -23034 -31696
c11868 16302 -11536
c11860 -19602 17696
c11857 14058 24248
c11856 -7128 -9520
c11854 -14784 -29680
c11853 -12276 5096
c11848 -14982 3080
c11845 15774 4088
c11841 -27852 -31192
c11840 20328 -9520
c11838 29766 26768
c11837 29898 -29176
c11836 -4422 13160
c11835 -24882 9632
c11830 19998 12152
c11828 2442 -2968
c11827 24288 10136
c11825 12606 -29176
c11823 -8514 28280
c11821 726 9128
c11819 3498 7616
c11818 -13266 12656
c11811 11682 -9016
c11810 26532 -32200
c11808 -19206 -5992
c11807 20988 -4480
c11806 -2904 28280
c11804 -16170 9128
c11803 9108 -14560
c11801 29370 -28168
c11799 -21648 6608
c11798 -5412 -30688
c11794 -19602 16184
c11792 22176 11144
c11788 30096 2072
c11787 -21384 -25144
c11786 13860 -7504
c11785 9702 24752
c11784 -11022 -17080
c11782 -7986 17696
c11781 22374 5600
c11780 7260 19208
c11778 -1452 18704
c11775 -12342 12656
c11774 -20790 -33208
c11772 14916 -24136
c11771 11748 -12040
c11770 16830 -10024
c11768 23628 -13048
c11767 20922 -8008
c11766 9306 24248
c11765 26928 20720
c11761 -26730 28784
c11760 13398 5600
c11759 2376 13664
c11756 -15312 18200
c11751 -14982 -5992
c11748 4554 9632
c11743 28776 -17584
c11740 -19932 23744
c11739 12012 8120
c11736 -29766 -13552
c11735 -2838 -31696
c11730 -7854 -33208
c11728 -3234 -5992
c11723 -21780 -4480
c11721 30426 29288
c11719 -11286 -23128
c11717 2706 -27160
c11715 -23958 1568
c11714 -7854 -20104
c11710 10362 17696
c11709 14850 -13048
c11763 23166 12152
c11708 -9504 -23632
c11707 -1452 -22120
c11703 15510 14672
c11701 -66 16688
c11700 14322 -1456
c11699 -3894 18200
c11698 13068 -23632
c11697 -8844 14672
c11696 -1056 -22120
c11695 31284 -27160
c11692 29172 30296
c11688 25476 31304
c11684 16170 17696
c11683 26136 -28672
c11682 -26202 -22120
c11681 -25014 9128
c11680 -23958 7616
c11677 -11022 21728
c11676 27654 23240
c11675 -25080 -14056
c11674 8448 -24640
c11673 20262 -17080
c11672 32340 -20104
c11668 -21054 22232
c11664 -25740 -4480
c11662 15510 3080
c11657 17952 17192
c12012 -21450 21728
c11656 -31416 -23128
c11652 -15972 10640
c11651 924 27272
c11649 -14982 21224
c11648 -25014 -9520
c11647 -9042 -8512
c11646 -21450 -28672
c11644 18480 -27160
c11642 10560 -4984
c11640 29040 -6496
c11638 -19800 -21112
c11637 7392 11648
c11636 -1254 -25144
c11632 -17952 14672
c11629 21120 24248
c11626 16038 -29176
c11625 23496 -1960
c11624 -17226 9632
c11623 -17028 -24640
c11619 -12870 -13552
c11618 7260 -23632
c11617 8844 -3976
c11614 3432 -2464
c11610 -10032 -15064
c11609 20922 22232
c11608 -15906 26768
c11606 22110 20720
c11605 924 14672
c11604 21582 5600
c11603 -15972 5600
c11601 6666 -28168
c11600 3234 -32704
c11597 -2112 28280
c11596 -21780 24248
c11595 -13200 -26656
c11594 -30558 16688
c11591 -1914 9128
c11588 6204 -12040
c11584 -6864 15680
c11583 9174 29288
c11582 -4620 11648
c11581 29964 -7504
c11580 26796 -3976
c11575 28776 -24136
c11572 26400 -23128
c11570 16368 -24640
c11569 -6798 3080
c11565 19866 -9016
c11564 -5478 -18592
c11563 16632 2072
c11562 12078 5600
c11558 20328 -13048
c11556 -10230 -28672
c11555 -17556 23744
c11553 -3432 4088
c11552 -21384 29792
c11551 -24948 4592
c11547 -27258 26264
c11544 25740 -31192
c11542 -13464 -1960
c11541 6798 14168
c11540 -16566 -26152
c11539 -16368 25256
c11538 29832 -11536
c11537 26664 31304
c11535 17292 1568
c11534 198 -26152
c11532 -22902 -33208
c11530 20196 -29680
c11528 -132 10640
c11526 5082 -18592
c11826 21648 -23632
c11522 -25674 7112
c11520 -20196 -10528
c11519 -23826 12152
c11510 18942 -33208
c11504 14190 -22624
c11615 -31482 2576
c11502 13200 30800
c11627 26070 26264
c11501 -21780 -5488
c11498 32604 -25648
c11497 15378 25760
c11496 9636 -23128
c11495 8250 -21616
c11494 21912 -18088
c11490 10428 5096
c11487 8514 11144
c11485 11352 -7000
c11478 31746 4088
c11477 -33330 19208
c11474 3300 -7504
c11473 23892 -31192
c11472 27918 29288
c11471 6138 32312
c11468 -13728 -17584
c11467 -22440 -25144
c11465 8184 -20104
c11463 -10494 -13552
c11459 -2046 12152
c11957 31218 -20608
c11458 -7986 24248
c11456 30228 -8008
