TotalDisplacement 37891230
MaxDisplacement 2905
NumCells 44811
c44808 -39204 -46592
c44807 17886 -45080
c44806 -14586 -49112
c44805 53064 24976
c44804 -38346 -24920
c44801 -46332 55720
c44800 33924 30016
c44798 41382 -29960
c44797 -33990 37072
c44794 -52536 -13328
c44791 7920 -1232
c44789 462 50680
c44786 6138 -33488
c44785 -33528 46648
c44784 24948 -5768
c44783 3366 30520
c44782 43890 17416
c44779 21846 -37520
c44778 -37884 29008
c44777 44616 10864
c44774 -10164 -8792
c44773 -33990 -18368
c44768 -11616 -4760
c44766 52932 -57680
c44762 38346 9352
c44761 -24816 17416
c44759 28644 -3752
c44758 48312 -54152
c44757 -30228 -53648
c44754 13992 10360
c44752 8382 -6776
c44751 11352 20944
c44750 -264 -4256
c44747 -43560 41104
c44746 39732 2800
c44744 42834 -34496
c44742 -12276 54712
c44740 38742 47656
c44739 -3036 -2240
c44738 46200 -18368
c44735 4422 37072
c44727 -5412 16912
c44726 -58674 44128
c44725 32010 -31976
c44722 6930 -16856
c44718 -22902 37072
c44716 -26532 11872
c44712 43692 26488
c44710 46200 47656
c44708 3630 -40040
c44702 -26070 44128
c44700 15510 40096
c44697 46794 -11312
c44696 38676 -10808
c44694 -39996 45136
c44690 52668 23464
c44688 32208 54712
c44681 7194 -39536
c44678 -23166 -5768
c44677 -36564 49168
c44674 50028 -21896
c44671 -32736 8848
c44670 15312 22960
c44664 46926 35560
c44661 1056 44128
c44656 57552 -15344
c44655 23364 -17360
c44652 -49962 28000
c44651 18876 47656
c44642 -5148 -9296
c44641 37554 48664
c44640 -46266 -54152
c44638 19338 47152
c44637 -33660 2800
c44636 33066 -41048
c44635 26598 1792
c44633 -14784 52192
c44630 10296 -27944
c44629 -49896 53200
c44628 7722 18424
c44627 28644 -46088
c44626 45606 -27944
c44623 46530 -41552
c44622 -31548 19936
c44620 -44682 30520
c44616 -34980 -52136
c44613 4290 -1232
c44612 10890 -16856
c44611 -49038 -6272
c44607 -20460 12376
c44606 16170 31024
c44605 -32736 35056
c44604 39270 12376
c44603 38478 47152
c44602 -16698 -12320
c44592 -32538 14896
c44591 792 -37520
c44590 -46002 30520
c44589 30294 18928
c44587 -22572 -27440
c44586 27654 -28448
c44585 22440 -31472
c44584 -43890 30016
c44583 -53064 10864
c44582 36696 43624
c44581 -55902 5824
c44579 46860 -15848
c44577 29172 -25928
c44576 12540 -17864
c44572 18018 28000
c44571 41976 15400
c44570 -4752 -21392
c44568 15312 -53648
c44565 -49500 -40040
c44559 38874 -25928
c44555 -8778 -7280
c44552 16566 31024
c44550 -46200 51184
c44548 42768 -14336
c44547 8580 -21392
c44546 46728 -33992
c44543 36828 -17360
c44542 52470 -10808
c44541 -35046 48664
c44539 -37752 -15344
c44537 16236 -25424
c44536 27258 -224
c44535 53064 -39032
c44531 -46398 42616
c44526 13662 -35504
c44524 -14256 17920
c44523 -22836 -46088
c44522 39336 -28952
c44519 48378 -23408
c44517 -38610 -25424
c44515 -9636 52696
c44514 -6732 1792
c44513 -23958 -5264
c44512 38412 11368
c44511 2904 -19376
c44510 -11946 39592
c44509 21384 2800
c44506 -18612 31024
c44505 -38214 -47096
c44502 -51678 -21896
c44501 -58674 -51632
c44500 21780 -35000
c44498 44880 280
c44496 29370 23968
c44495 -17556 24976
c44493 53658 -28448
c44491 -14850 18424
c44490 -28908 47152
c44488 -39006 23464
c44486 46926 15904
c44485 -3696 58240
c44484 -26400 57736
c44481 58212 37072
c44479 24024 40096
c44475 -14190 45640
c44474 -14520 22960
c44471 -52272 -57680
c44595 5016 -48608
c44470 17292 49672
c44469 -55506 24976
c44467 42438 16408
c44464 20922 41608
c44461 -11484 46144
c44459 11616 -24920
c44458 -42504 -9296
c44457 -38742 7336
c44456 1518 -45584
c44455 52140 20440
c44454 -52998 -29456
c44448 54384 17416
c44446 39798 -2240
c44445 38412 34048
c44444 -3366 784
c44440 23694 -12320
c44439 -36564 -43064
c44434 -4686 3808
c44433 22110 5824
c44432 36696 57736
c44430 12804 -49112
c44429 -47520 35560
c44424 -24420 10360
c44421 -35244 45640
c44416 -50886 21952
c44412 858 20440
c44411 -31284 35056
c44410 26730 -38024
c44409 -8382 5824
c44404 35178 -16856
c44403 47322 -37520
c44401 21384 -52136
c44399 34650 -3248
c44397 -27852 3808
c44390 -24288 -28448
c44389 -16368 49672
c44388 17754 46648
c44387 -40920 4312
c44386 45738 25480
c44385 51678 -20888
c44382 -7260 -27944
c44379 43032 28504
c44376 -44880 38584
c44375 9174 30016
c44373 54648 -18368
c44371 37092 -39032
c44367 -31350 -39032
c44366 1320 -10304
c44365 8910 2800
c44364 -28050 -56672
c44360 47850 -28952
c44358 47256 -6272
c44356 13068 34048
c44354 -8712 53704
c44353 -43560 8344
c44351 -4554 40600
c44346 -32076 58240
c44344 45342 -44576
c44339 -48048 51688
c44337 -29436 -40040
c44335 -52734 -58184
c44332 23166 -21896
c44329 25872 -36008
c44327 -43890 27496
c44320 -30294 784
c44318 25146 -54152
c44317 -3828 -18368
c44314 11154 -35504
c44306 16764 22456
c44305 -2904 -44072
c44302 3696 -48104
c44300 54648 1792
c44299 35508 784
c44297 15048 -11816
c44296 16764 -33488
c44295 -30558 -20384
c44293 10824 -24416
c44292 -40128 -17864
c44287 -30888 28504
c44284 43824 48664
c44283 45804 -18368
c44280 -22638 32032
c44279 -52008 57736
c44278 14784 -2240
c44277 -22704 -35000
c44276 -38940 -12824
c44273 38544 -23912
c44272 -20394 -12320
c44270 -51744 49672
c44264 -25212 -21896
c44262 -54318 -50120
c44261 49500 -11816
c44260 48246 -2240
c44259 -19338 -26432
c44256 -3366 4816
c44255 -29172 23968
c44254 53724 10864
c44252 13200 -25424
c44251 32670 30520
c44556 16896 26488
c44248 -26664 -25424
c44246 -44022 25480
c44245 -23232 23968
c44244 50358 -19376
c44243 -56232 13888
c44241 -51612 -24920
c44240 7722 -31976
c44239 -27390 29008
c44238 -49830 36064
c44235 -57486 5824
c44234 18348 -36008
c44233 -40788 -12824
c44232 -24288 34552
c44231 -41712 -20384
c44229 -36432 -7280
c44228 -45606 -42056
c44227 -5148 -50120
c44225 52404 35056
c44218 25806 25480
c44215 30822 -16856
c44214 -27786 23464
c44211 10956 -23408
c44210 -4092 -9800
c44208 -33990 -8288
c44207 -31812 5824
c44205 -52932 19432
c44203 -25410 7840
c44200 48972 -12824
c44199 -13464 22960
c44197 36168 10864
c44195 -33066 52192
c44193 -11286 31528
